"district","temperature","humidity","month","year","rainfall_mm"
"Bagalkote","32.1","55","1","2024","5.2"
"Bagalkote","33.5","52","2","2024","3.8"
"Bagalkote","36.2","48","3","2024","8.1"
"Bagalkote","37.8","45","4","2024","18.5"
"Bagalkote","35.4","58","5","2024","42.3"
"Bagalkote","30.2","72","6","2024","85.6"
"Bagalkote","28.5","78","7","2024","112.4"
"Bagalkote","28.1","80","8","2024","98.7"
"Bagalkote","29.3","75","9","2024","120.5"
"Bagalkote","30.8","68","10","2024","72.3"
"Bagalkote","31.2","58","11","2024","18.4"
"Bagalkote","30.5","54","12","2024","4.6"
"Ballari","33.2","50","1","2024","4.8"
"Ballari","34.8","47","2","2024","2.5"
"Ballari","37.5","42","3","2024","6.3"
"Ballari","38.9","40","4","2024","15.2"
"Ballari","36.1","55","5","2024","38.7"
"Ballari","31.5","70","6","2024","78.4"
"Ballari","29.8","76","7","2024","105.2"
"Ballari","29.2","78","8","2024","92.6"
"Ballari","30.1","72","9","2024","108.3"
"Ballari","31.5","65","10","2024","65.8"
"Ballari","32.0","55","11","2024","15.2"
"Ballari","31.8","50","12","2024","3.9"
"Belagavi","28.4","70","1","2024","8.5"
"Belagavi","29.8","65","2","2024","5.2"
"Belagavi","32.5","58","3","2024","12.8"
"Belagavi","33.2","55","4","2024","28.4"
"Belagavi","31.0","68","5","2024","65.2"
"Belagavi","26.5","82","6","2024","185.6"
"Belagavi","24.8","88","7","2024","248.3"
"Belagavi","24.5","90","8","2024","215.7"
"Belagavi","25.8","85","9","2024","195.4"
"Belagavi","27.2","78","10","2024","125.8"
"Belagavi","28.5","68","11","2024","32.5"
"Belagavi","27.8","65","12","2024","8.2"
"Bengaluru Rural","27.5","65","1","2024","6.2"
"Bengaluru Rural","28.8","60","2","2024","4.5"
"Bengaluru Rural","31.2","55","3","2024","10.8"
"Bengaluru Rural","32.5","52","4","2024","42.5"
"Bengaluru Rural","30.8","62","5","2024","98.2"
"Bengaluru Rural","26.2","75","6","2024","85.4"
"Bengaluru Rural","24.5","80","7","2024","105.8"
"Bengaluru Rural","24.2","82","8","2024","125.6"
"Bengaluru Rural","25.5","78","9","2024","165.2"
"Bengaluru Rural","26.8","72","10","2024","145.8"
"Bengaluru Rural","27.2","65","11","2024","58.2"
"Bengaluru Rural","26.5","62","12","2024","12.5"
"Bengaluru Urban","28.2","60","1","2024","5.8"
